,Create At,Name,Price
280,2022-03-22 15:44:55.168518,Sullivan Large Logo and Leather Tote Bag,4860.00
281,2022-03-22 15:44:55.168596,Ivy Medium Woven Tote Bag,4470.00
282,2022-03-22 15:44:55.168672,Stirling Extra-Large Studded Quilted Recycled Polyester Tote Bag,4970.00
283,2022-03-22 15:44:55.168746,Lillie Large Pebbled Leather Shoulder Bag,5400.00
284,2022-03-22 15:44:55.168826,Lina Medium Logo Faux Leather Tote Bag,5720.00
285,2022-03-22 15:44:55.168900,Aria Large Pebbled Leather Tote Bag,3100.00
286,2022-03-22 15:44:55.168979,Izzy Medium Embellished Logo Tote Bag,3720.00
287,2022-03-22 15:44:55.169053,Sullivan Large Saffiano Leather Tote Bag,4050.00
288,2022-03-22 15:44:55.169133,Eva Large Printed Canvas Tote Bag,3010.00
289,2022-03-22 15:44:55.169206,Brooklyn Large Pebbled Leather Tote Bag,6220.00
290,2022-03-22 15:44:55.169280,Brooklyn Large Logo and Pebbled Leather Tote Bag,6220.00
291,2022-03-22 15:44:55.169359,Sinclair Large Logo Tape Tote Bag,4860.00
292,2022-03-22 15:44:55.169437,Jet Set Large Logo Top-Zip Tote Bag,2690.00
293,2022-03-22 15:44:55.169515,Sullivan Small Saffiano Leather Top-Zip Tote Bag,3500.00
294,2022-03-22 15:44:55.169591,Sullivan Medium Logo Top-Zip Tote Bag,3500.00
295,2022-03-22 15:44:55.169665,Lillie Large Pebbled Leather Shoulder Bag,6760.00
296,2022-03-22 15:44:55.169739,Lillie Large Logo Shoulder Bag,5400.00
297,2022-03-22 15:44:55.169813,Voyager Medium Two-Tone Logo Tote Bag,3780.00
298,2022-03-22 15:44:55.169887,Voyager Medium Crossgrain Leather Tote Bag,3780.00
299,2022-03-22 15:44:55.169971,Voyager Medium Crossgrain Leather Tote Bag,3500.00
300,2022-03-22 15:44:55.170055,Voyager Large Saffiano Leather Top-Zip Tote Bag,3010.00 -  3100.00
301,2022-03-22 15:44:55.170137,Voyager Large Saffiano Leather Top-Zip Tote Bag,3010.00 -  3100.00
